state,county,UFO_sightings,Population,Median Age,Median Household Income,percent female,percent HS,percent AF,UFO_percapita
fl,escambia county,5,300795.0,37.4,43918.0,50.45695573397164,18.70543060888645,3.540949816320085,1.6622616732326004e-05
fl,flagler county,3,97301.0,48.2,47233.0,52.088878839888594,24.72225362534815,0.032887637331579324,3.083215999835562e-05
fl,gadsden county,1,46860.0,39.4,35380.0,50.58258642765685,24.14852752880922,0.061886470337174565,2.134016218523261e-05
fl,hardee county,1,27336.0,33.7,37125.0,45.63213345039509,22.40635059994147,0.051214515657009074,3.658179689786362e-05
fl,hernando county,3,173119.0,48.0,41024.0,52.09422420416014,28.334844817726534,0.03234769147233984,1.7329120431610627e-05
fl,highlands county,2,98275.0,51.8,35560.0,51.2459933859069,27.619435258204017,0.06512337827524803,2.035105571101501e-05
fl,hillsborough county,23,1257913.0,36.3,49596.0,51.215147629446555,18.54388976026164,0.4391400677153348,1.8284253362513942e-05
fl,indian river county,5,139356.0,49.6,44772.0,51.79253135853498,21.523292861448375,0.06458279514337381,3.587933063520767e-05
fl,lake county,8,300926.0,46.0,45035.0,51.61634421751526,24.779513900427347,0.08706459395333073,2.658460884071167e-05
fl,lee county,40,633968.0,46.0,47439.0,50.8858491280317,23.72769603513111,0.0380145370113318,6.309466723872498e-05
fl,leon county,1,278624.0,29.7,46369.0,52.40611002641553,11.28653669461353,0.09331572298150913,3.589066268519582e-06
fl,liberty county,1,8308.0,37.7,39681.0,37.626384207992295,27.443428021184403,0.0,0.00012036591237361579
fl,marion county,3,333503.0,47.6,39453.0,52.03851239718983,26.774871590360505,0.05757069651547363,8.995421330542754e-06
fl,martin county,4,147786.0,50.1,49846.0,50.600868823839875,20.094596240509926,0.0372159744495419,2.7066163236030478e-05
fl,miami-dade county,27,2549075.0,38.5,43100.0,51.49220795778861,19.481851259770703,0.0864627364828418,1.0592077518315468e-05
fl,monroe county,3,74213.0,46.5,53607.0,46.65355126460324,23.19270208723539,1.486262514653767,4.0424184442078883e-05
fl,okaloosa county,2,185852.0,37.4,54684.0,49.68039084863224,18.318339323762995,4.463766868260766,1.0761250887803199e-05
fl,okeechobee county,3,39642.0,39.6,34570.0,46.57938550022703,22.46859391554412,0.0,7.567731194187983e-05
fl,orange county,38,1175416.0,34.0,47581.0,50.755307057246114,17.37512506210567,0.06116983263797668,3.232897969740075e-05
fl,osceola county,3,279837.0,35.6,43891.0,50.853889943074,22.34729503246533,0.03073217623116314,1.0720526592266212e-05
fl,palm beach county,56,1339221.0,43.7,52432.0,51.587378035440004,18.774645857554503,0.03539371022407803,4.181535385123142e-05
fl,pasco county,14,468194.0,44.0,43888.0,51.43359376668646,24.884769988509035,0.08842488370205513,2.9902134585236035e-05
fl,pinellas county,34,920015.0,46.6,45535.0,52.00936941245523,22.819193165328826,0.14641065634799433,3.695591919696961e-05
fl,polk county,13,610295.0,40.1,43113.0,51.04285632358122,24.2363119475008,0.057021604306114256,2.1301174022399004e-05
fl,putnam county,1,73683.0,43.7,32497.0,50.49604386357775,27.94267334391922,0.05971526675081091,1.3571651534275207e-05
fl,santa rosa county,2,155579.0,39.2,57703.0,49.33570726126277,18.67668515673709,2.4476311070260124,1.2855205394044183e-05
fl,sarasota county,18,383094.0,53.1,49052.0,52.28560092301107,24.095130698992936,0.044375531853800894,4.6985857256965655e-05
fl,seminole county,13,427184.0,38.6,58175.0,51.57496535450766,16.437179295104688,0.06414097906288625,3.0431851380201504e-05
fl,st. johns county,5,197115.0,42.5,64876.0,51.44052964005783,14.8004971717018,0.2952591127007077,2.5365903152981762e-05
fl,st. lucie county,6,281015.0,42.9,43413.0,51.18267708129459,23.977011903279184,0.028468231233208192,2.1351173424906142e-05
fl,sumter county,2,98409.0,63.8,48493.0,48.43256206241299,28.120395492282206,0.0,2.0323344409556035e-05
fl,taylor county,1,22660.0,41.4,36356.0,43.64518976169462,26.774051191526922,0.0,4.41306266548985e-05
fl,volusia county,9,496268.0,45.7,42457.0,51.25174300982533,23.818581895266266,0.06931738496135152,1.8135362344539645e-05
ga,bartow county,3,100382.0,36.7,47197.0,50.459245681496675,25.210695144547827,0.08766511924448606,2.9885836106074793e-05
ga,burke county,1,23223.0,35.9,31494.0,52.01739654652715,25.00107651896826,0.11626404857253585,4.3060758730568835e-05
ga,carroll county,1,111160.0,33.7,46147.0,51.26844188557035,21.948542641237857,0.08636200071968334,8.996041741633682e-06
ga,chatham county,2,271102.0,34.1,45794.0,51.7004669829068,17.864124941903786,1.334921911310134,7.377297105886345e-06
ga,cherokee county,7,218277.0,36.7,67261.0,50.69613381162468,15.644799956019186,0.012827737232965451,3.206934308241363e-05
ga,clarke county,4,118864.0,26.2,33060.0,52.47678018575851,11.644400323058285,0.16405303540180374,3.3651904697805894e-05
ga,clayton county,1,262455.0,32.0,40606.0,52.22190470747366,19.25815854146425,0.152788097007106,3.8101769827208476e-06
ga,cobb county,9,699235.0,35.7,63920.0,51.41905081982452,12.886511687773067,0.13600577774281894,1.2871209250109047e-05
ga,colquitt county,3,45781.0,34.9,32484.0,50.63454271422643,23.49664708066665,0.015290185884974116,6.55293680784605e-05
ga,columbia county,7,128213.0,36.7,69306.0,51.33956775054011,15.780771060656877,1.8266478438223894,5.459664776582718e-05
ga,cook county,1,17066.0,36.5,34985.0,51.66998710887144,25.19629673034103,0.2636821750849643,5.8596038907769834e-05
ga,coweta county,1,129397.0,37.1,60813.0,51.030549394499104,21.365255763271172,0.16229124322820468,7.728154439438317e-06
