state,shape,duration (seconds),duration (hours/min),latitude,longitude,Month,Day,Time,Year,City2,county
mo,fireball,1800,25-30 minutes,38.4313889,-92.8408333,10,21,19:20,2013,versailles,morgan county
tx,light,20,20 seconds,29.7855556,-95.8241667,10,21,19:40,2013,katy,fort bend county
wi,oval,900,15 minutes,44.1538889,-87.5691667,10,21,19:45,2013,two rivers,manitowoc county
ma,fireball,600,10 minutes,42.3708333,-71.1833333,10,21,19:50,2013,watertown,middlesex county
ok,light,240,4 minutes,34.1619444,-97.4255556,10,21,20:30,2013,wilson,carter county
nj,fireball,60,1 minute,39.7530556,-74.2233333,10,21,21:00,2013,barnegat,ocean county
pa,oval,30,30 seconds,39.7852778,-75.97916670000001,10,21,21:35,2013,oxford,chester county
ok,teardrop,900,15 minutes,36.3100000,-96.46388890000001,10,21,22:00,2013,cleveland,pawnee county
mo,diamond,300,5 minutes,38.3697222,-90.3783333,10,21,22:00,2013,imperial,jefferson county
wi,light,900,15 minutes,42.5311111,-88.2480556,10,21,23:00,2013,twin lakes,kenosha county
nc,other,10,10 seconds,34.9883333,-80.3672222,10,2,00:08,2013,marshville,union county
md,circle,2,2 seconds,38.8158333,-76.75,10,2,06:45,2013,upper marlboro,prince george's county
ca,sphere,900,10-15 minutes,37.7750000,-122.41833329999999,10,2,11:45,2013,san francisco,san francisco county
nv,cigar,600,10 minutes,36.1750000,-115.1363889,10,2,14:15,2013,las vegas,clark county
wi,cigar,3600,60 minutes,42.6827778,-89.01861109999999,10,2,18:00,2013,janesville,rock county
ca,circle,10,:10,33.9319444,-117.9452778,10,2,19:15,2013,la habra,orange county
ct,disk,15,15 seconds,41.5380556,-72.8075,10,2,19:50,2013,meriden,new haven county
oh,fireball,30,30 seconds,39.5150000,-84.3983333,10,2,20:00,2013,middletown,butler county
wv,light,2,2 seconds,39.4561111,-77.9641667,10,2,20:05,2013,martinsburg,berkeley county
va,circle,20,20 seconds,38.8008333,-77.3258333,10,2,20:10,2013,fairfax station,fairfax county
oh,fireball,180,3 minutes,40.7988889,-81.37861109999999,10,2,21:00,2013,canton,stark county
mi,disk,15,15 seconds,42.5369444,-85.6416667,10,2,21:00,2013,martin,allegan county
me,changing,600,10 minutes,44.7311111,-68.8269444,10,2,21:55,2013,orrington,penobscot county
ny,triangle,5,5 seconds,42.9730556,-77.8530556,10,2,22:00,2013,caledonia,livingston county
pa,light,300,5 minutes,39.9522222,-75.1641667,10,2,22:00,2013,philadelphia,philadelphia county
nj,rectangle,900,15 minutes,39.7913889,-74.19555559999999,10,2,22:00,2013,waretown,ocean county
md,oval,300,5 minutes,39.6416667,-77.72027779999999,10,2,22:45,2013,hagerstown,washington county
mo,triangle,1800,30 minutes,38.8113889,-90.8527778,10,22,01:00,2013,wentzville,st. charles county
co,circle,60,1 minutes,40.1672222,-105.1013889,10,22,05:45,2013,longmont,boulder county
ny,disk,30,30 seconds,42.6525000,-73.7566667,10,22,06:00,2013,albany,albany county
wa,oval,480,8 minutes,47.4236111,-120.30916670000002,10,22,07:30,2013,wenatchee,chelan county
ga,circle,1200,20 minutes,31.4716667,-83.6469444,10,22,09:15,2013,ty ty,tift county
az,other,73800,2 1/2 hours,34.6100000,-112.315,10,22,18:30,2013,prescott valley,yavapai county
vt,light,40,40 seconds,44.6397222,-73.1108333,10,22,18:35,2013,milton,chittenden county
pa,circle,300,5 minutes,40.3477778,-79.8644444,10,22,18:58,2013,mckeesport,allegheny county
fl,diamond,300,hours,25.7738889,-80.1938889,10,22,19:00,2013,miami,miami-dade county
vt,rectangle,1800,30 minutes,42.8508333,-72.5583333,10,22,19:08,2013,brattleboro,windham county
az,flash,240,4 minutes,34.5400000,-112.4677778,10,22,19:15,2013,prescott,yavapai county
nh,unknown,5,5 seconds,42.9269444,-70.9444444,10,22,19:28,2013,kensington,rockingham county
