Unemployment_rate_2013,Median_Household_Income_2018,state,county
7.5,"54,473",in,allen county
6.0,"63,067",in,bartholomew county
7.1,"51,649",in,benton county
9.9,"45,161",in,blackford county
5.7,"85,876",in,boone county
7.4,"60,944",in,brown county
7.0,"57,092",in,carroll county
7.7,"48,598",in,cass county
6.9,"56,774",in,clark county
8.9,"52,699",in,clay county
7.1,"51,730",in,clinton county
10.0,"44,152",in,crawford county
5.7,"55,434",in,daviess county
8.5,"66,502",in,dearborn county
6.7,"57,441",in,decatur county
7.2,"58,987",in,dekalb county
8.6,"43,096",in,delaware county
5.3,"62,126",in,dubois county
7.2,"59,251",in,elkhart county
10.3,"47,737",in,fayette county
6.3,"64,992",in,floyd county
9.8,"53,493",in,fountain county
8.7,"62,251",in,franklin county
8.3,"52,798",in,fulton county
5.9,"56,960",in,gibson county
9.0,"45,138",in,grant county
10.2,"46,835",in,greene county
5.0,"101,740",in,hamilton county
6.6,"73,831",in,hancock county
7.0,"60,379",in,harrison county
5.8,"80,834",in,hendricks county
8.8,"50,183",in,henry county
8.1,"55,365",in,howard county
7.7,"53,809",in,huntington county
6.5,"55,518",in,jackson county
7.7,"66,720",in,jasper county
7.7,"48,392",in,jay county
7.9,"51,031",in,jefferson county
9.2,"51,560",in,jennings county
6.2,"69,880",in,johnson county
6.7,"48,606",in,knox county
6.6,"57,367",in,kosciusko county
5.9,"67,498",in,lagrange county
9.1,"55,280",in,lake county
9.3,"52,095",in,laporte county
10.1,"53,187",in,lawrence county
9.3,"49,522",in,madison county
8.5,"48,409",in,marion county
7.4,"55,766",in,marshall county
6.3,"55,444",in,martin county
8.7,"47,624",in,miami county
6.8,"48,883",in,monroe county
7.2,"53,700",in,montgomery county
7.6,"66,151",in,morgan county
9.0,"53,060",in,newton county
7.3,"61,341",in,noble county
8.3,"58,022",in,ohio county
9.9,"44,968",in,orange county
10.1,"49,731",in,owen county
9.2,"49,639",in,parke county
7.8,"52,332",in,perry county
6.8,"54,265",in,pike county
7.2,"69,298",in,porter county
6.3,"68,162",in,posey county
7.0,"49,730",in,pulaski county
8.7,"54,718",in,putnam county
8.7,"46,441",in,randolph county
8.6,"57,436",in,ripley county
7.4,"53,271",in,rush county
8.7,"54,674",in,st. joseph county
8.9,"44,913",in,scott county
7.3,"57,193",in,shelby county
6.7,"56,862",in,spencer county
9.5,"49,972",in,starke county
6.3,"58,295",in,steuben county
9.1,"47,554",in,sullivan county
7.5,"47,713",in,switzerland county
6.6,"52,269",in,tippecanoe county
6.7,"60,896",in,tipton county
7.2,"50,300",in,union county
7.1,"50,500",in,vanderburgh county
10.7,"49,287",in,vermillion county
9.4,"48,335",in,vigo county
7.6,"51,487",in,wabash county
8.8,"60,596",in,warren county
6.3,"75,534",in,warrick county
8.7,"44,534",in,washington county
8.7,"45,130",in,wayne county
6.3,"60,010",in,wells county
6.9,"58,380",in,white county
7.0,"67,758",in,whitley county
4.7,"60,071",ia,iowa
4.2,"54,282",ia,adair county
3.7,"51,577",ia,adams county
6.3,"53,359",ia,allamakee county
6.4,"44,298",ia,appanoose county
4.9,"51,210",ia,audubon county
5.1,"62,799",ia,benton county
5.1,"52,320",ia,black hawk county
4.1,"63,099",ia,boone county
3.8,"74,646",ia,bremer county
4.7,"59,724",ia,buchanan county
4.0,"52,683",ia,buena vista county
4.5,"57,971",ia,butler county
5.2,"54,865",ia,calhoun county
3.4,"60,531",ia,carroll county
5.0,"50,356",ia,cass county
4.3,"67,597",ia,cedar county
5.4,"51,939",ia,cerro gordo county
4.3,"56,312",ia,cherokee county
5.0,"64,190",ia,chickasaw county
5.5,"52,541",ia,clarke county
4.5,"56,338",ia,clay county
5.6,"53,968",ia,clayton county
5.8,"51,317",ia,clinton county
4.4,"54,828",ia,crawford county
